order_item_id,order_id,product_id,quantity
1,1,3,5
2,1,17,5
3,1,18,5
4,2,13,4
5,3,13,3
6,4,1,3
7,4,12,2
8,4,3,1
9,5,5,5
10,5,2,3
11,5,12,2
12,6,16,4
13,6,6,1
14,6,5,3
15,6,3,2
16,7,7,1
17,8,10,5
18,8,17,4
19,8,13,3
20,9,7,3
21,10,2,1
22,10,11,3
23,10,9,4
24,11,15,4
25,11,13,4
26,11,11,3
27,11,6,5
28,12,3,4
29,12,14,5
30,12,20,2
31,13,11,3
32,13,4,3
33,13,3,3
34,14,20,3
35,14,14,4
36,14,6,1
37,14,15,3
38,15,9,3
39,15,2,5
40,15,3,2
41,15,13,1
42,16,20,1
43,16,15,2
44,17,8,3
45,18,13,5
46,18,19,2
47,18,2,4
48,19,12,5
49,19,15,2
50,19,3,5
51,20,13,2
52,20,11,1
53,20,9,1
54,21,16,4
55,21,17,5
56,22,9,3
57,23,7,1
58,23,10,2
59,23,16,1
60,23,20,4
61,24,15,3
62,24,3,3
63,25,18,5
64,26,10,3
65,26,6,5
66,26,19,2
67,27,7,2
68,28,16,3
69,28,1,5
70,29,15,5
71,29,18,1
72,29,5,1
73,30,13,4
74,30,16,4
75,30,17,5
76,31,5,3
77,32,15,4
78,33,5,2
79,33,18,4
80,33,6,5
81,34,4,5
82,35,10,2
83,35,6,3
84,36,12,3
85,36,17,1
86,37,7,2
87,37,18,3
88,37,9,5
89,38,17,2
90,39,6,5
91,39,11,1
92,40,3,1
93,41,7,5
94,41,19,1
95,41,14,4
96,42,10,4
97,42,16,3
98,42,8,4
99,43,2,2
100,44,14,3
101,44,16,5
102,44,15,2
103,44,7,3
104,45,12,3
105,45,13,5
106,45,5,5
107,46,11,2
108,47,4,2
109,47,9,1
110,47,15,1
111,47,8,3
112,48,20,3
113,48,14,5
114,48,8,3
115,48,6,2
116,49,16,4
117,49,17,4
118,50,16,4
119,50,1,5
120,50,3,4
121,51,7,3
122,51,19,1
123,52,10,4
124,53,10,4
125,53,18,2
126,53,1,3
127,53,4,3
128,54,12,5
129,54,2,5
130,54,13,2
131,54,19,3
132,55,3,4
133,55,13,5
134,55,17,3
135,56,5,1
136,57,12,2
137,57,11,2
138,57,18,5
139,57,20,5
140,58,17,2
141,58,2,3
142,58,19,4
143,58,18,5
144,59,5,5
145,59,17,3
146,59,20,2
147,59,11,4
148,60,19,5
149,60,11,5
150,60,17,4
151,61,16,3
152,61,1,1
153,61,12,4
154,62,1,5
155,62,16,5
156,62,9,2
157,63,19,4
158,64,17,2
159,64,13,2
160,65,19,1
161,66,1,3
162,66,15,4
163,67,14,4
164,67,7,5
165,68,2,5
166,68,5,3
167,68,17,4
168,68,7,5
169,69,11,5
170,69,6,3
171,69,15,3
172,69,20,5
173,70,7,2
174,70,8,3
175,70,9,3
176,70,10,2
177,71,11,3
178,71,16,1
179,71,12,5
180,71,9,5
181,72,13,1
182,72,12,3
183,72,5,1
184,72,10,3
185,73,9,5
186,73,16,3
187,73,7,5
188,73,18,3
189,74,4,2
190,74,19,2
191,75,17,2
192,76,2,4
193,76,4,3
194,77,4,4
195,77,5,4
196,77,1,4
197,77,6,2
198,78,11,1
199,78,10,5
200,78,2,2
201,79,6,4
202,80,2,4
203,80,13,2
204,81,2,5
205,81,1,5
206,81,10,1
207,82,10,5
208,82,15,4
209,82,18,2
210,83,9,2
211,83,7,4
212,83,4,3
213,83,11,2
214,84,11,3
215,85,6,4
216,85,13,5
217,86,3,2
218,86,13,2
219,86,4,4
220,87,8,4
221,87,1,2
222,87,9,4
223,88,11,3
224,88,10,3
225,88,1,2
226,89,4,4
227,90,6,3
228,90,13,1
229,90,17,3
230,91,20,2
231,91,8,4
232,91,19,2
233,92,20,5
234,92,12,2
235,92,14,2
236,92,16,5
237,93,17,4
238,94,3,1
239,94,19,5
240,94,4,5
241,95,19,2
242,95,18,2
243,96,17,2
244,96,15,5
245,96,4,4
246,97,17,4
247,98,15,2
248,99,15,3
249,99,19,1
250,99,2,4
251,99,20,3
252,100,7,5
253,101,2,4
254,102,3,1
255,102,18,4
256,102,2,1
257,103,14,4
258,103,6,3
259,103,5,4
260,104,13,3
261,104,20,1
262,104,3,2
263,104,5,5
264,105,17,1
265,105,5,3
266,105,8,4
267,105,1,5
268,106,18,4
269,106,13,3
270,106,8,2
271,106,20,3
272,107,4,4
273,107,2,5
274,108,8,2
275,109,4,5
276,110,15,5
277,111,8,1
278,112,15,1
279,112,8,2
280,112,18,5
281,112,7,3
282,113,19,5
283,113,11,5
284,114,8,5
285,114,10,2
286,114,5,4
287,115,9,5
288,115,2,2
289,115,18,4
290,116,2,3
291,116,12,4
292,116,13,4
293,116,17,2
294,117,13,4
295,117,6,2
296,117,18,2
297,118,5,5
298,118,15,4
299,118,2,4
300,119,13,3
301,119,8,2
302,120,3,1
303,120,15,5
304,120,12,2
305,121,9,4
306,122,3,2
307,123,16,3
308,123,7,3
309,124,7,2
310,125,16,2
311,126,13,5
312,126,8,3
313,127,13,3
314,127,15,3
315,127,18,3
316,128,17,1
317,128,16,4
318,128,15,3
319,129,12,4
320,129,11,1
321,130,5,3
322,130,1,5
323,131,10,2
324,131,5,4
325,131,7,5
326,131,11,2
327,132,18,4
328,132,11,4
329,132,9,2
330,132,16,3
331,133,5,4
332,133,18,2
333,134,17,1
334,135,2,1
335,136,5,1
336,136,8,2
337,136,3,5
338,136,20,4
339,137,2,1
340,137,16,1
341,137,19,5
342,138,1,5
343,138,20,3
344,138,17,1
345,138,9,5
346,139,6,2
347,139,4,2
348,139,19,2
349,139,17,5
350,140,12,1
351,140,9,3
352,140,13,4
353,141,19,1
354,141,8,1
355,141,20,1
356,141,10,4
357,142,13,1
358,142,18,2
359,142,16,1
360,142,2,4
361,143,11,1
362,143,19,2
363,143,4,2
364,143,17,5
365,144,9,5
366,144,2,5
367,144,3,1
368,144,20,2
369,145,1,4
370,145,7,1
371,145,5,3
372,146,19,5
373,146,8,4
374,147,13,5
375,147,5,3
376,147,3,1
377,148,14,2
378,149,11,5
379,150,11,4
380,150,1,2
381,150,9,3
382,150,15,5
383,151,14,5
384,151,6,3
385,151,13,2
386,151,3,1
387,152,9,2
388,153,5,1
389,153,13,1
390,153,11,1
391,153,12,3
392,154,12,1
393,154,9,2
394,154,4,4
395,154,5,4
396,155,4,5
397,155,1,1
398,155,3,5
399,155,12,5
400,156,13,4
401,156,1,4
402,156,10,1
403,157,19,2
404,157,17,4
405,158,5,3
406,158,9,3
407,159,5,3
408,159,3,4
409,159,6,3
410,159,14,4
411,160,12,3
412,161,16,4
413,161,7,1
414,162,10,4
415,162,1,3
416,163,11,5
417,163,15,2
418,163,20,3
419,163,14,3
420,164,16,2
421,164,11,4
422,165,10,3
423,165,16,4
424,165,8,3
425,166,12,5
426,166,4,1
427,166,7,4
428,166,6,2
429,167,10,2
430,167,3,3
431,167,14,2
432,167,16,3
433,168,14,1
434,168,13,4
435,169,19,4
436,169,13,5
437,169,18,1
438,169,17,3
439,170,4,2
440,171,6,3
441,171,2,4
442,171,13,1
443,172,4,3
444,173,17,5
445,173,20,5
446,174,15,4
447,174,12,4
448,175,12,4
449,175,1,1
450,176,14,2
451,176,3,3
452,176,4,3
453,177,15,4
454,177,7,3
455,177,17,4
456,178,15,4
457,179,3,1
458,179,10,1
459,179,2,3
460,180,6,2
461,181,18,3
462,181,6,5
463,182,15,2
464,182,8,4
465,182,13,4
466,182,6,1
467,183,15,4
468,183,19,4
469,184,7,2
470,185,3,5
471,185,19,2
472,185,4,3
473,186,7,3
474,186,15,4
475,186,4,5
476,187,20,5
477,187,13,1
478,187,19,3
479,188,15,5
480,188,6,5
481,188,10,1
482,189,11,2
483,189,4,3
484,190,6,3
485,191,17,4
486,191,13,5
487,192,19,4
488,192,13,2
489,193,18,4
490,193,6,3
491,193,20,2
492,193,19,2
493,194,15,1
494,194,2,4
495,194,12,2
496,195,13,5
497,195,18,4
498,196,16,2
499,196,14,1
500,196,15,5
501,196,20,1
502,197,10,3
503,197,2,2
504,198,6,5
505,198,15,5
506,198,16,1
507,199,9,5
508,200,18,5
509,200,2,2
510,200,15,4
511,201,8,3
512,202,15,3
513,203,3,2
514,203,15,2
515,203,4,5
516,204,20,5
517,204,14,2
518,204,6,2
519,205,2,3
520,205,19,5
521,206,20,3
522,206,18,3
523,206,6,3
524,207,17,4
525,207,4,1
526,207,5,3
527,208,5,2
528,208,8,3
529,209,13,2
530,209,16,5
531,210,14,1
532,210,13,1
533,210,15,4
534,211,12,3
535,211,15,5
536,211,16,1
537,212,15,3
538,213,18,4
539,214,14,4
540,214,7,3
541,215,10,5
542,215,11,2
543,215,18,5
544,216,11,4
545,216,2,1
546,216,19,1
547,216,4,2
548,217,15,2
549,217,1,3
550,217,14,2
551,217,7,3
552,218,12,3
553,219,12,2
554,220,13,3
555,221,14,1
556,221,3,1
557,222,16,2
558,222,3,5
559,223,17,1
560,223,15,1
561,224,4,4
562,224,14,1
563,224,5,2
564,225,3,3
565,225,4,3
566,225,19,2
567,225,11,4
568,226,5,5
569,226,3,5
570,227,20,2
571,228,12,5
572,228,7,4
573,228,5,2
574,228,14,1
575,229,5,1
576,230,12,2
577,230,14,3
578,230,11,1
579,230,5,2
580,231,1,5
581,231,10,5
582,231,7,5
583,232,13,1
584,232,10,2
585,233,13,5
586,233,4,1
587,233,8,5
588,233,16,1
589,234,11,5
590,234,5,4
591,234,13,3
592,235,16,1
593,235,3,5
594,236,1,3
595,237,2,4
596,237,20,5
597,238,17,4
598,238,14,1
599,238,19,5
600,239,9,3
601,239,3,1
602,240,5,3
603,240,18,4
604,241,10,4
605,242,2,1
606,242,8,4
607,243,15,5
608,244,10,2
609,245,1,2
610,246,6,4
611,247,17,2
612,247,20,3
613,247,9,2
614,248,4,4
615,248,1,3
616,248,11,5
617,249,9,5
618,250,16,4
619,251,2,3
620,251,16,2
621,251,6,3
622,252,19,1
623,253,17,1
624,253,1,1
625,254,2,3
626,254,16,4
627,255,6,5
628,255,2,4
629,256,11,4
630,256,8,3
631,257,3,1
632,257,19,5
633,257,12,1
634,258,8,1
635,258,17,4
636,259,15,3
637,260,11,4
638,260,3,1
639,260,18,3
640,261,10,3
641,261,19,5
642,262,15,5
643,262,12,4
644,263,18,2
645,263,8,1
646,264,1,1
647,264,8,3
648,264,18,1
649,264,12,4
650,265,4,2
651,265,7,4
652,265,17,4
653,266,5,3
654,267,2,2
655,268,12,5
656,268,15,2
657,268,3,4
658,268,4,1
659,269,14,2
660,270,10,3
